Group,Classifier,Test Accuracy,Test ROC-AUC,CV Accuracy (mean),CV Accuracy (std)
BCS,AdaBoost,0.86,0.946,0.8039122568973316,0.0505082462069308
BCS,Gradient Boosting,0.873,0.944,0.8173903211216645,0.050238481074451
BCS,Random Forest,0.866,0.933,0.8174807779285389,0.0406606176811576
BCS,XGBoost,0.873,0.926,0.7965174129353233,0.0551857696472121
BCS,Logistic Regression,0.847,0.903,0.7815468113975577,0.0428859718569311
BCS,SVM,0.783,0.881,0.7366350067842605,0.0347998986839212
BCS,GaussianNB,0.777,0.847,0.7544776119402985,0.0483595120249924
BCS,Decision Tree,0.739,0.738,0.7515829941203076,0.0548420502299594
BCS,KNN,0.688,0.724,0.6377883310719132,0.0492094642418807
Mastectomy,Gradient Boosting,0.846,0.917,0.8484283972361467,0.0236423312872242
Mastectomy,XGBoost,0.812,0.912,0.8533870749220973,0.023220004122623
Mastectomy,Random Forest,0.833,0.911,0.850067741498442,0.0347267137160021
Mastectomy,AdaBoost,0.799,0.898,0.8484216230863026,0.0242789575215014
Mastectomy,Logistic Regression,0.812,0.893,0.8303210947026148,0.0380049705558189
Mastectomy,SVM,0.722,0.829,0.7825430158515106,0.0359987456361425
Mastectomy,GaussianNB,0.744,0.815,0.7883145915187644,0.0326875782338469
Mastectomy,Decision Tree,0.821,0.808,0.7915865058935104,0.0278888910740106
Mastectomy,KNN,0.603,0.636,0.7372713724427584,0.0335200130604164
