,n_missing_before,pct_missing_before,n_missing_after,pct_missing_after
tumor_stage,515,26.0,0,0.0
three_gene_classifier_subtype,217,10.95,0,0.0
primary_tumor_laterality,111,5.6,0,0.0
neoplasm_histologic_grade,88,4.44,0,0.0
lymph_nodes_examined_positive,76,3.84,0,0.0
cellularity,64,3.23,0,0.0
tumor_other_histologic_subtype,44,2.22,0,0.0
er_status_measured_by_ihc,43,2.17,0,0.0
tumor_size,26,1.31,0,0.0
type_of_breast_surgery,26,1.31,26,1.31
pr_status,1,0.05,0,0.0
integrative_cluster,1,0.05,0,0.0
pam50_claudin_low_subtype,1,0.05,0,0.0
chemotherapy,1,0.05,0,0.0
hormone_therapy,1,0.05,0,0.0
her2_status_measured_by_snp6,1,0.05,0,0.0
inferred_menopausal_state,1,0.05,0,0.0
nottingham_prognostic_index,1,0.05,0,0.0
patients_vital_status,1,0.05,0,0.0
her2_status,1,0.05,0,0.0
relapse_free_status,1,0.05,0,0.0
radio_therapy,1,0.05,0,0.0
patient_id,0,0.0,0,0.0
cohort,0,0.0,0,0.0
age_at_diagnosis,0,0.0,0,0.0
overall_survival_months,0,0.0,0,0.0
overall_survival_status,0,0.0,0,0.0
sex,0,0.0,0,0.0
relapse_free_status_months,0,0.0,0,0.0
cancer_type,0,0.0,0,0.0
cancer_type_detailed,0,0.0,0,0.0
er_status,0,0.0,0,0.0
oncotree_code,0,0.0,0,0.0
mutation_count,0,0.0,0,0.0
