Classifier,Split,Accuracy,Precision,Recall,F1-score,ROC-AUC
SVM,Train,0.869,0.899,0.831,0.864,0.869
SVM,Test,0.835,0.942,0.828,0.881,0.842
KNN,Train,0.907,0.984,0.828,0.899,0.907
KNN,Test,0.791,0.893,0.816,0.852,0.769
AdaBoost,Train,0.911,0.927,0.893,0.91,0.911
AdaBoost,Test,0.86,0.915,0.89,0.903,0.828
Gradient Boosting,Train,0.954,0.97,0.937,0.953,0.954
Gradient Boosting,Test,0.864,0.923,0.89,0.906,0.84
Random Forest,Train,0.823,0.887,0.74,0.807,0.823
Random Forest,Test,0.748,0.904,0.737,0.812,0.758
GaussianNB,Train,0.66,0.598,0.974,0.741,0.66
GaussianNB,Test,0.791,0.792,0.973,0.873,0.625
Logistic Regression,Train,0.866,0.883,0.844,0.863,0.866
Logistic Regression,Test,0.846,0.939,0.847,0.891,0.846
XGBoost,Train,0.947,0.972,0.92,0.945,0.947
XGBoost,Test,0.867,0.934,0.882,0.907,0.842
Decision Tree,Train,0.812,0.797,0.838,0.817,0.812
Decision Tree,Test,0.806,0.888,0.843,0.865,0.772
