feature,importance_mean,importance_std
relapse_free_status,0.19363057324840774,0.03017253320338094
age_at_diagnosis,0.1178343949044586,0.018071670011606526
overall_survival_months,0.061783439490445846,0.01847133757961783
cohort,0.036305732484076425,0.015872529674365747
nottingham_prognostic_index,0.005095541401273884,0.005552737507695124
lymph_nodes_examined_positive,0.0019108280254777066,0.004078423081167419
er_status_measured_by_ihc,0.0,0.0
chemotherapy,0.0,0.0
her2_status_measured_by_snp6,0.0,0.0
hormone_therapy,0.0,0.0
sex,0.0,0.0
cancer_type,0.0,0.0
primary_tumor_laterality,0.0,0.0
cellularity,0.0,0.0
tumor_size,0.0,0.0049337367467610395
pr_status,0.0,0.0
her2_status,0.0,0.0
radio_therapy,0.0,0.0
cancer_type_detailed,0.0,0.0
oncotree_code,0.0,0.0
er_status,0.0,0.0
mutation_count,-0.001273885350318471,0.002547770700636942
neoplasm_histologic_grade,-0.001273885350318471,0.004766442530922218
pam50_claudin_low_subtype,-0.0019108280254777066,0.0029188380222648657
inferred_menopausal_state,-0.002547770700636942,0.0031203690990868507
integrative_cluster,-0.003821656050955413,0.0031203690990868507
relapse_free_status_months,-0.00573248407643312,0.005290843224788581
tumor_other_histologic_subtype,-0.006369426751592355,0.0
three_gene_classifier_subtype,-0.006369426751592355,0.004028379184927871
tumor_stage,-0.008280254777070062,0.0029188380222648657
