feature,importance_mean,importance_std
relapse_free_status,0.17051282051282057,0.018276414342173586
overall_survival_months,0.10042735042735047,0.013946298181265557
age_at_diagnosis,0.08119658119658127,0.017306373274629562
cohort,0.028632478632478663,0.02049946146189993
nottingham_prognostic_index,0.013675213675213715,0.011111111111111103
integrative_cluster,0.009401709401709457,0.007596747365226999
tumor_other_histologic_subtype,0.008119658119658202,0.0023013524816814035
tumor_size,0.005128205128205177,0.00533760512683627
three_gene_classifier_subtype,0.00384615384615391,0.0029914529914530233
her2_status,0.0034188034188034956,0.0017094017094017476
her2_status_measured_by_snp6,0.0034188034188034956,0.0017094017094017476
cancer_type_detailed,0.002136752136752196,0.005145980589227504
chemotherapy,0.0012820512820513109,0.0019583656816051036
primary_tumor_laterality,0.0012820512820512996,0.0038461538461538746
sex,0.0,0.0
er_status_measured_by_ihc,0.0,0.0
inferred_menopausal_state,0.0,0.0
cancer_type,0.0,0.0
hormone_therapy,-0.00042735042735038143,0.004031615868400295
cellularity,-0.00042735042735042583,0.0012820512820512775
lymph_nodes_examined_positive,-0.0008547008547008072,0.0056694440860776355
pr_status,-0.0008547008547008184,0.004983719568243873
radio_therapy,-0.0008547008547008184,0.00533760512683626
er_status,-0.0017094017094016812,0.00391673136321014
oncotree_code,-0.0025641025641025108,0.006943622568064949
pam50_claudin_low_subtype,-0.004700854700854662,0.00700906814822938
mutation_count,-0.005555555555555513,0.007414252808930547
relapse_free_status_months,-0.008547008547008494,0.009165645551080006
neoplasm_histologic_grade,-0.008974358974358942,0.006743475999170702
tumor_stage,-0.009401709401709368,0.005337605126836219
