feature,n_missing,pct_missing
three_gene_classifier_subtype,745,29.69
tumor_stage,721,28.74
primary_tumor_laterality,639,25.47
cellularity,592,23.6
type_of_breast_surgery,554,22.08
pam50_claudin_low_subtype,529,21.08
patients_vital_status,529,21.08
inferred_menopausal_state,529,21.08
hormone_therapy,529,21.08
chemotherapy,529,21.08
radio_therapy,529,21.08
her2_status_measured_by_snp6,529,21.08
pr_status,529,21.08
her2_status,529,21.08
integrative_cluster,529,21.08
overall_survival_months,528,21.04
overall_survival_status,528,21.04
lymph_nodes_examined_positive,266,10.6
nottingham_prognostic_index,222,8.85
tumor_size,149,5.94
tumor_other_histologic_subtype,135,5.38
neoplasm_histologic_grade,121,4.82
relapse_free_status_months,121,4.82
er_status_measured_by_ihc,83,3.31
er_status,40,1.59
relapse_free_status,21,0.84
age_at_diagnosis,11,0.44
cohort,11,0.44
patient_id,0,0.0
sex,0,0.0
cancer_type_detailed,0,0.0
cancer_type,0,0.0
oncotree_code,0,0.0
mutation_count,0,0.0
