Classifier,Training/Testing,Accuracy,Precision,Recall,F1-score,ROC-AUC
SVM,test,0.783,0.823,0.689,0.75,0.881
SVM,train,0.774,0.843,0.674,0.749,0.865
KNN,test,0.688,0.687,0.622,0.652,0.724
KNN,train,0.784,0.781,0.79,0.786,0.868
AdaBoost,test,0.86,0.906,0.784,0.841,0.946
AdaBoost,train,0.847,0.854,0.838,0.846,0.929
Gradient Boosting,test,0.873,0.922,0.797,0.855,0.944
Gradient Boosting,train,0.93,0.947,0.91,0.928,0.983
Random Forest,test,0.866,0.896,0.811,0.851,0.933
Random Forest,train,1.0,1.0,1.0,1.0,1.0
GaussianNB,test,0.777,0.8,0.703,0.748,0.847
GaussianNB,train,0.774,0.787,0.751,0.769,0.849
Logistic Regression,test,0.847,0.891,0.77,0.826,0.903
Logistic Regression,train,0.804,0.816,0.784,0.8,0.895
XGBoost,test,0.873,0.897,0.824,0.859,0.926
XGBoost,train,1.0,1.0,1.0,1.0,1.0
Decision Tree,test,0.739,0.72,0.73,0.725,0.738
Decision Tree,train,1.0,1.0,1.0,1.0,1.0
